,PR,NPC,POLY,EBR
0,74,11,1.1865671641791045,0.5401069518716577
1,80,12,1.290842490842491,0.42772861356932157
2,77,12,1.3423423423423424,0.4890710382513661
3,77,12,1.2444444444444445,0.47891566265060237
4,79,11,1.1558171745152355,0.4717948717948718
5,78,12,1.2593811718235681,0.47699757869249393
6,72,10,1.3754448398576513,0.5494505494505495
7,78,12,1.242973708068903,0.4922118380062306
8,80,12,1.2677935943060499,0.49056603773584906
9,81,11,1.0925925925925926,0.5607235142118863
10,82,12,1.2255451713395638,0.47113163972286376
11,78,11,1.14149008885851,0.4441489361702128
