,PR,NPC,POLY,EBR
156,58,10,4.781684885201282,0.0
157,71,8,4.547432477492498,0.012499999999999956
158,68,7,6.256572626430256,0.0
159,62,9,6.829856868563449,0.0
160,58,7,6.630093490915505,0.0
161,48,7,8.699569696179424,0.0
162,51,10,4.355372292525712,0.0
163,64,12,4.394090573727295,0.0
164,45,7,4.5320542817033225,0.012499999999999956
165,43,12,4.662563773234864,0.012499999999999956
166,42,10,5.3702585818542214,0.0
167,70,12,4.2164010208503875,0.0
168,46,7,5.121870385561936,0.0
169,50,7,3.1116508198980295,0.0
170,49,10,5.396753861728879,0.0
171,38,7,3.6994084961462628,0.0
172,31,7,3.538782708850736,0.0
173,60,9,7.241930746385562,0.0
174,61,10,6.194244840371428,0.0
175,60,9,5.7602415611338955,0.0
176,53,7,6.304597511469026,0.012499999999999956
177,64,7,4.172368001699777,0.0
178,77,10,7.951079231811721,0.0
179,72,7,6.826265028405338,0.0
180,55,7,5.914335436154014,0.0
181,58,7,7.291510541916,0.0
182,62,7,8.005178772264797,0.0
183,50,7,5.387314061184395,0.0
184,55,8,5.5720052367444906,0.0
185,76,9,7.346317604419578,0.0
186,44,7,6.1614188229588835,0.0
187,67,7,7.460406517722157,0.0
188,79,8,6.6972785466509315,0.0
189,50,8,7.1700976971388695,0.0
190,52,8,5.873351297688271,0.0
191,52,9,6.747783337722764,0.0
192,45,7,7.118838134265397,0.0
193,60,12,2.494956188793167,0.012499999999999956
194,58,12,3.979300827966881,0.013513513513513487
195,41,12,5.323376123683935,0.0
196,53,7,5.609989466292135,0.0
197,36,6,5.472287537789721,0.025000000000000022
198,28,8,2.288206676732092,0.0
199,47,7,4.246669394807439,0.0
200,72,9,5.712718252075184,0.0
201,62,7,6.64676366135869,0.0
202,53,7,8.985307666197935,0.0
203,67,7,8.625474945241608,0.01666666666666672
204,60,9,3.8573051312181748,0.012820512820512775
205,80,8,8.002208090443384,0.0
206,55,9,6.168062813476537,0.0
207,40,7,5.984243402582819,0.013157894736842146
208,60,8,6.880636077521948,0.012499999999999956
209,45,7,6.066911862454026,0.01666666666666672
210,50,8,7.912783595113438,0.0
211,60,8,6.862173432654952,0.013333333333333308
212,69,7,7.539207337045529,0.0
213,69,11,6.941270098197907,0.0
214,60,10,8.19324806403898,0.0
215,49,11,3.3085845256285595,0.0
216,56,7,4.7804049553749834,0.0
217,60,8,5.393808255659121,0.0
218,62,8,4.542777716814807,0.07499999999999996
219,67,8,8.836087852351936,0.0
220,61,8,9.790502670020743,0.0
221,53,10,5.434142771257548,0.0
222,48,8,7.8576371886527605,0.0
223,58,9,8.157284523163451,0.0
224,72,11,6.722142954205735,0.0
225,79,11,7.137418724522454,0.0
226,31,10,3.61042852861852,0.050000000000000044
227,55,9,3.3813345222172684,0.0
228,48,11,6.241376167691957,0.0
229,55,10,5.685878805986365,0.0
230,62,10,5.360433695872458,0.0
231,68,10,5.910024449877751,0.0
232,76,10,6.619154761582044,0.010000000000000009
233,67,8,7.678053744808428,0.010309278350515427
234,38,9,5.781841903990642,0.033333333333333326
235,38,9,6.88476630624346,0.0
236,51,10,7.401530578729554,0.0
237,53,11,6.252255803766973,0.0
238,48,7,6.130113769842602,0.025000000000000022
239,56,8,7.202375498985669,0.0
240,58,7,7.0387823732366686,0.0
241,72,11,3.5858756516702064,0.0
