,Pitch_range,Num_pitches,Polyphony,Empty_beat_rates
0,74,5,2.6,0.0
1,72,3,2.8823529411764706,0.0
2,79,5,3.8383838383838382,0.0
3,46,5,3.2888888888888888,0.0
4,58,6,3.210526315789474,0.0
5,79,4,3.4,0.0
6,63,5,3.9782608695652173,0.0
7,38,4,2.8285714285714287,0.0
8,41,6,2.6483516483516483,0.0
