,PR,NPC,POLY,EBR
0,84,9,6.089743589743589,0.1428571428571429
1,84,11,3.596969696969697,0.12244897959183676
2,81,12,6.535564853556485,0.11428571428571432
3,81,12,5.099644128113879,0.19999999999999996
4,86,12,4.064965197215777,0.0
5,85,10,4.529616724738676,0.0
6,85,12,3.4522613065326633,0.19696969696969702
7,82,11,3.0586206896551724,0.11627906976744184
8,86,12,5.487179487179487,0.04761904761904767
9,83,12,5.1375838926174495,0.04878048780487809
10,73,12,3.6230529595015577,0.12244897959183676
11,87,12,4.601139601139601,0.022222222222222254
